iter	RMSE
0	8.175508395
1	7.933688285
2	7.709914571
3	7.508266725
4	7.303990627
5	7.150428176
6	6.960206028
7	6.787160573
8	6.617984786
9	6.462685202
10	6.31251668
11	6.179149025
12	6.034290991
13	5.904575095
14	5.769637059
15	5.644893406
16	5.524970254
17	5.415931239
18	5.306971827
19	5.208623404
20	5.099084426
21	5.005260495
22	4.913882838
23	4.823858139
24	4.738760154
25	4.656163878
26	4.576483446
27	4.499271522
28	4.419757358
29	4.350882286
30	4.276690519
31	4.207346137
32	4.138003007
33	4.073174083
34	4.018466382
35	3.957192312
36	3.902364893
37	3.845428839
38	3.790446795
39	3.736437652
40	3.684202884
41	3.634090816
42	3.586101521
43	3.539744815
44	3.494367062
45	3.455241664
46	3.410283553
47	3.369435775
48	3.333263765
49	3.292347101
50	3.254530981
51	3.215428235
52	3.178420017
53	3.141745898
54	3.104909424
55	3.071064823
56	3.035816621
57	3.004533723
58	2.971862156
59	2.937682149
60	2.906648549
61	2.876899844
62	2.849487836
63	2.817971988
64	2.792068866
65	2.766833709
66	2.739866797
67	2.713512987
68	2.685005944
69	2.65884677
70	2.633736391
71	2.60742507
72	2.584140047
73	2.558618243
74	2.534267125
75	2.510171479
76	2.487393317
77	2.466852437
78	2.443653548
79	2.420748997
80	2.400783963
81	2.37935857
82	2.360788551
83	2.340212357
84	2.320880265
85	2.301625051
86	2.283100648
87	2.264270774
88	2.245719242
89	2.226543667
90	2.209377479
91	2.192376496
92	2.175667306
93	2.160495782
94	2.143511295
95	2.12737713
96	2.111453414
97	2.094941861
98	2.078925032
99	2.063987758
100	2.048614906
101	2.033813111
102	2.019443885
103	2.005187186
104	1.991106453
105	1.976794545
106	1.964115303
107	1.951418889
108	1.939494571
109	1.927149331
110	1.916004384
111	1.904691594
112	1.892878065
113	1.880797176
114	1.869312366
115	1.857884938
116	1.846126588
117	1.835256872
118	1.824074394
119	1.813596616
120	1.803182552
121	1.793795011
122	1.783499436
123	1.774687292
124	1.764475819
125	1.755053823
126	1.74524267
127	1.736768866
128	1.728037023
129	1.718203453
130	1.709273047
131	1.69997851
132	1.690754358
133	1.682499338
134	1.673866341
135	1.66613018
136	1.658070288
137	1.649896328
138	1.642079365
139	1.634401613
140	1.627529684
141	1.620851104
142	1.613318974
143	1.6062829
144	1.599144149
145	1.591497862
146	1.584981906
147	1.578561433
148	1.572292047
149	1.565271533
150	1.558973626
151	1.55266097
152	1.546370738
153	1.53973227
154	1.533494977
155	1.527030213
156	1.520973646
157	1.51535515
158	1.509490687
159	1.503656563
160	1.498345373
161	1.492958171
162	1.487349577
163	1.481740133
164	1.476712224
165	1.471505301
166	1.466435759
167	1.461288347
168	1.456309633
169	1.451661495
170	1.446870518
171	1.441822368
172	1.437333246
173	1.432928008
174	1.428525035
175	1.423448459
176	1.419152268
177	1.414602525
178	1.410032088
179	1.405733299
180	1.401748741
181	1.397958337
182	1.393947113
183	1.389990478
184	1.386028678
185	1.381752518
186	1.377555419
187	1.373777999
188	1.369961531
189	1.366097021
190	1.362376681
191	1.358687595
192	1.355042084
193	1.351626493
194	1.348302315
195	1.344921959
196	1.341263892
197	1.337982907
198	1.334596136
199	1.33138027
200	1.328094513
201	1.324823747
202	1.321797226
203	1.318660977
204	1.315618284
205	1.312716574
206	1.309569381
207	1.306459541
208	1.303443788
209	1.300786434
210	1.29808927
211	1.295058267
212	1.292218536
213	1.28947434
214	1.286775094
215	1.28403833
216	1.281692427
217	1.27903815
218	1.276445353
219	1.27407122
220	1.271607831
221	1.269042256
222	1.266836263
223	1.264429017
224	1.262153219
225	1.259733835
226	1.257522669
227	1.255460788
228	1.252857432
229	1.250595512
230	1.248421865
231	1.246197335
232	1.243934845
233	1.241991018
234	1.24021828
235	1.237936224
236	1.236009165
237	1.233805492
238	1.231671959
239	1.229490702
240	1.227737431
241	1.225784407
242	1.224192092
243	1.221875826
244	1.220019652
245	1.218048102
246	1.216165922
247	1.214527196
248	1.212877713
249	1.211192223
250	1.209396923
251	1.20770442
252	1.206000268
253	1.204017955
254	1.202459953
255	1.200733815
256	1.199083897
257	1.197158391
258	1.194800202
259	1.193286332
260	1.191782456
261	1.190152786
262	1.188767055
263	1.18722166
264	1.185701907
265	1.184244301
266	1.182652734
267	1.181335358
268	1.179971201
269	1.178724731
270	1.177330844
271	1.175765279
272	1.174558078
273	1.173193999
274	1.171621372
275	1.170232191
276	1.169051326
277	1.167850804
278	1.166359458
279	1.165008964
