iter	Passed	Remaining
0	142	39706
1	149	20760
2	156	14486
3	179	12384
4	184	10169
5	203	9308
6	214	8381
7	223	7603
8	229	6924
9	236	6387
10	241	5916
11	247	5521
12	253	5205
13	260	4955
14	267	4722
15	272	4498
16	278	4303
17	283	4132
18	289	3970
19	294	3827
20	300	3704
21	305	3581
22	310	3468
23	316	3372
24	321	3274
25	325	3184
26	333	3123
27	338	3048
28	345	2987
29	350	2924
30	357	2872
31	363	2816
32	371	2778
33	377	2733
34	392	2746
35	408	2769
36	417	2742
37	427	2723
38	434	2686
39	442	2653
40	450	2624
41	456	2584
42	462	2546
43	472	2532
44	480	2507
45	485	2469
46	490	2432
47	496	2398
48	501	2361
49	507	2335
50	512	2301
51	517	2267
52	525	2248
53	529	2217
54	535	2190
55	540	2163
56	545	2134
57	550	2107
58	555	2081
59	560	2055
60	564	2028
61	569	2003
62	574	1979
63	579	1954
64	583	1931
65	590	1915
66	597	1898
67	601	1876
68	606	1855
69	611	1835
70	617	1816
71	621	1796
72	626	1776
73	633	1763
74	638	1745
75	645	1732
76	655	1728
77	663	1718
78	668	1702
79	674	1685
80	678	1668
81	685	1654
82	690	1638
83	696	1624
84	702	1611
85	711	1604
86	717	1591
87	724	1581
88	731	1569
89	736	1555
90	741	1540
91	747	1526
92	751	1511
93	757	1498
94	762	1484
95	766	1469
96	771	1455
97	775	1440
98	780	1427
99	784	1412
100	789	1398
101	794	1386
102	801	1376
103	805	1363
104	811	1352
105	816	1340
106	821	1327
107	826	1316
108	831	1304
109	836	1292
110	841	1281
111	846	1269
112	850	1256
113	855	1245
114	859	1233
115	863	1220
116	867	1208
117	872	1198
118	877	1187
119	882	1176
120	887	1165
121	891	1155
122	895	1143
123	899	1132
124	903	1120
125	907	1109
126	911	1097
127	914	1086
128	918	1075
129	923	1065
130	927	1055
131	932	1045
132	936	1035
133	941	1025
134	947	1017
135	952	1008
136	957	999
137	975	1003
138	980	994
139	985	985
140	990	976
141	995	967
142	1000	958
143	1006	950
144	1011	941
145	1016	932
146	1022	924
147	1027	916
148	1032	907
149	1037	898
150	1041	889
151	1046	881
152	1051	873
153	1056	864
154	1061	855
155	1066	847
156	1071	839
157	1076	831
158	1081	823
159	1086	814
160	1091	806
161	1097	799
162	1102	791
163	1108	784
164	1116	778
165	1121	770
166	1126	762
167	1131	754
168	1136	746
169	1141	738
170	1146	731
171	1153	724
172	1160	717
173	1165	709
174	1170	702
175	1175	694
176	1183	688
177	1189	681
178	1193	673
179	1200	666
180	1204	658
181	1211	652
182	1216	644
183	1222	637
184	1226	630
185	1231	622
186	1236	614
187	1241	607
188	1245	599
189	1251	592
190	1256	585
191	1262	578
192	1266	571
193	1272	563
194	1276	556
195	1281	549
196	1288	543
197	1293	535
198	1298	528
199	1303	521
200	1309	514
201	1315	507
202	1319	500
203	1324	493
204	1329	486
205	1335	479
206	1341	473
207	1346	466
208	1352	459
209	1356	452
210	1361	445
211	1368	438
212	1372	431
213	1377	424
214	1383	418
215	1388	411
216	1393	404
217	1398	397
218	1403	391
219	1409	384
220	1414	377
221	1419	370
222	1423	363
223	1428	357
224	1433	350
225	1438	343
226	1442	336
227	1448	330
228	1453	323
229	1458	317
230	1463	310
231	1472	304
232	1478	298
233	1484	291
234	1488	285
235	1493	278
236	1499	271
237	1505	265
238	1510	259
239	1517	252
240	1521	246
241	1526	239
242	1532	233
243	1538	227
244	1544	220
245	1552	214
246	1559	208
247	1566	202
248	1571	195
249	1581	189
250	1588	183
251	1594	177
252	1599	170
253	1604	164
254	1610	157
255	1615	151
256	1620	145
257	1625	138
258	1631	132
259	1639	126
260	1644	119
261	1650	113
262	1654	106
263	1659	100
264	1663	94
265	1667	87
266	1671	81
267	1675	75
268	1680	68
269	1684	62
270	1687	56
271	1691	49
272	1695	43
273	1699	37
274	1703	30
275	1707	24
276	1710	18
277	1715	12
278	1719	6
279	1724	0
